name	x	y	z	size	manufacturer
Fp1	-29.4367	83.9171	-6.99	61	Brain Products UK
AF3	-33.7007	76.8371	21.227	61	Brain Products UK
AF7	-54.8397	68.5722	-10.59	61	Brain Products UK
Fz	0.3122	58.512	66.462	61	Brain Products UK
F1	-27.4958	56.9311	60.342	61	Brain Products UK
F3	-50.2438	53.1112	42.192	61	Brain Products UK
F5	-64.4658	48.0353	16.921	61	Brain Products UK
F7	-70.2629	42.4743	-11.42	61	Brain Products UK
FC1	-34.0619	26.0111	79.987	61	Brain Products UK
FC3	-60.1819	22.7162	55.544	61	Brain Products UK
FC5	-77.2149	18.6433	24.46	61	Brain Products UK
FT7	-80.775	14.1203	-11.135	61	Brain Products UK
Cz	0.4009	-9.167	100.244	61	Brain Products UK
C1	-36.158	-9.9839	89.752	61	Brain Products UK
C3	-65.3581	-11.6317	64.358	61	Brain Products UK
C5	-80.2801	-13.7597	29.16	61	Brain Products UK
T7	-84.1611	-16.0187	-9.346	61	Brain Products UK
CP1	-35.5131	-47.2919	91.315	61	Brain Products UK
CP3	-63.5562	-47.0088	65.624	61	Brain Products UK
CP5	-79.5922	-46.5507	30.949	61	Brain Products UK
TP7	-84.8302	-46.0217	-7.056	61	Brain Products UK
TP9	-85.6192	-46.5147	-45.707	61	Brain Products UK
Pz	0.3247	-81.115	82.615	61	Brain Products UK
P1	-28.6203	-80.5249	75.436	61	Brain Products UK
P3	-53.0073	-78.7878	55.94	61	Brain Products UK
P5	-67.2723	-76.2907	28.382	61	Brain Products UK
P7	-72.4343	-73.4527	-2.487	61	Brain Products UK
PO3	-36.5114	-100.8529	37.167	61	Brain Products UK
PO7	-54.8404	-97.5279	2.792	61	Brain Products UK
Oz	0.1076	-114.892	14.657	61	Brain Products UK
O1	-29.4134	-112.449	8.839	61	Brain Products UK
Fpz	0.1123	88.247	-1.713	61	Brain Products UK
Fp2	29.8723	84.8959	-7.08	61	Brain Products UK
AF4	35.7123	77.7259	21.956	61	Brain Products UK
AF8	55.7433	69.6568	-10.755	61	Brain Products UK
F2	29.5142	57.6019	59.54	61	Brain Products UK
F4	51.8362	54.3048	40.814	61	Brain Products UK
F6	67.9142	49.8297	16.367	61	Brain Products UK
F8	73.0431	44.4217	-12	61	Brain Products UK
FC2	34.7841	26.4379	78.808	61	Brain Products UK
FC4	62.2931	23.7228	55.63	61	Brain Products UK
FC6	79.5341	19.9357	24.438	61	Brain Products UK
FT8	81.8151	15.4167	-11.33	61	Brain Products UK
C2	37.672	-9.6241	88.412	61	Brain Products UK
C4	67.1179	-10.9003	63.58	61	Brain Products UK
C6	83.4559	-12.7763	29.208	61	Brain Products UK
T8	85.0799	-15.0203	-9.49	61	Brain Products UK
CPz	0.3858	-47.318	99.432	61	Brain Products UK
CP2	38.3838	-47.0731	90.695	61	Brain Products UK
CP4	66.6118	-46.6372	65.58	61	Brain Products UK
CP6	83.3218	-46.1013	31.206	61	Brain Products UK
TP8	85.5488	-45.5453	-7.13	61	Brain Products UK
TP10	86.1618	-47.0353	-45.869	61	Brain Products UK
P2	31.9197	-80.4871	76.716	61	Brain Products UK
P4	55.6667	-78.5602	56.561	61	Brain Products UK
P6	67.8877	-75.9043	28.091	61	Brain Products UK
P8	73.0557	-73.0683	-2.54	61	Brain Products UK
POz	0.2156	-102.178	50.608	61	Brain Products UK
PO4	36.7816	-100.8491	36.397	61	Brain Products UK
PO8	55.6666	-97.6251	2.73	61	Brain Products UK
O2	29.8426	-112.156	8.8	61	Brain Products UK
